ss_id,latitude_rounded,longitude_rounded,llsoacd,orientation,tilt,kwp,operational_at
2754,51.67,-1.08,E01028609,190.0,30.0,4.0,2011-10-05
2755,52.24,0.41,E01018019,140.0,40.0,4.0,2011-09-15
2756,51.93,1.27,E01022005,165.0,47.0,4.0,2011-09-21
2757,53.26,-2.53,E01018711,150.0,30.0,1.44,2011-12-28
2758,51.6,-1.8,E01015471,190.0,40.0,2.66,2011-09-15
2759,52.61,1.28,E01026811,120.0,35.0,3.25,2011-09-15
2760,56.5,-3.51,S00126883,140.0,22.0,2.94,2011-09-16
2761,53.7,-1.42,E01011822,160.0,31.0,1.44,2011-09-15
2762,51.38,-0.84,E01016637,160.0,40.0,3.24,2011-09-15
2763,52.43,-1.69,E01010108,170.0,40.0,3.92,2011-09-15
2764,55.65,-4.78,S00122330,180.0,30.0,2.0,2011-09-15
2765,53.25,-2.16,E01018646,180.0,35.0,3.42,2011-09-15
2766,55.81,-4.86,S00122727,185.0,30.0,2.25,2011-09-16
2767,51.32,-2.19,E01032102,178.0,30.0,3.33,2011-09-15
2768,52.1,-1.94,E01032376,170.0,40.0,3.78,2011-09-15
2769,52.69,1.21,E01026565,180.0,35.0,2.0,2011-09-16
2770,52.4,-1.91,E01032134,210.0,30.0,4.0,2011-11-10
2771,53.68,-1.4,E01011776,175.0,18.0,2.4,2016-11-17
2772,53.09,0.09,E01026102,185.0,30.0,3.68,2011-09-13
2773,53.09,0.09,E01026102,185.0,30.0,3.68,2011-09-14
2774,53.09,0.09,E01026102,185.0,30.0,3.68,2011-09-12
2775,50.42,-4.1,E01015090,180.0,30.0,3.22,2011-09-20
2776,53.08,-1.25,E01027997,160.0,40.0,2.94,2011-09-22
2777,50.81,0.0,E01021063,270.0,49.0,3.96,2011-09-22
2778,52.79,0.13,E01026256,180.0,30.0,1.47,2011-09-21
2779,51.33,-2.21,E01032087,200.0,35.0,2.66,2011-09-20
2780,53.56,-3.07,E01006986,164.0,25.0,3.42,2011-09-20
